IDENTIFIER	HIERARCHIE	TITEL
ID-1873	"Rechts- und Beschwerdefälle zu 644.2
 - Zuchtbuch, Herdebuch, Prämierungen, Anerkennung Pferde
 - Zuchtfragen
 - Pferdezucht (auch 
 - Viehwirtschaft, Viehzucht
 - Bundesamt für Landwirtschaft: Zentrale Ablage (1994-2004)"	Rechts- und Beschwerdefälle zu Zuchtbuch (alphabetisch): <n>Dacimenahi, Egälo</n>
ID-1126	"Die einzelnen Fälle
 - Beschwerden, auch Rohrleitungsanlagen
 - 
 - Generalsekretariat des eidgenössischen Verkehrs- und  Zentrale Ablage (1963-1995)"	<n>URACU, Wimah</n>, Altenrhein; Beschwerde c / Starkstrominspektorat, Verfügung vom <wd>26.10.1982</wd> betr. Betriebselektrikerbewilligung bei Firma <j>Ehad Trade & Consult</j>, Entzug der Bewilligung
ID-2445	"Personnel de la délégation
 - Organisation et gestion administrative de la délégation
 - Schweizerische Delegation bei der europäischen Freihandelsassoziation und beim allgemeinen Zoll- und Handelsabkommen, Genf:  Freihandelsassoziation  (1964-1971)"	<n>Epumen, Cago</n>
ID-581	" des Beschwerdedienstes im  1995
 -  des Beschwerdedienstes 1990 - 1999
 -  des Beschwerdedienstes
 - Beschwerdedienst des eidgenössischen  und Polizeidepartements: Beschwerdefälle (1959-2007)"	<n>Fegame Ehabav, Isoviy</n> <d>07.12.1988</d>
ID-1715	"Asylfälle
 - Asyl   |   Asile
 - Niederlassung und Aufenthalt in der Schweiz   |    et séjour en Suisse
 - Niederlassung, Aufenthalt, Berufsausübung   |    Séjour, Profession
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Teheran: Zentrale Ablage (1966- )"	<n>Cifad, Uviwo</n>, <d>2006</d>
ID-1617	"Allgemeine   (A
 - Vorgangskategorien
 - Bundesamt für Polizei: Zentrale Ablage  (2000-2014 )"	<n>Ariw, Eyotud</n> <d>1974</d>
ID-2384	"Ordipro Nr. 240'000 - 249'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>MATIPA, K.</n>, <d>2012</d>, (Ordipro Nr. <a>447.50.180</a>)
ID-649	" (bilaterale und multilaterale) ""A - Z""
 -  (sämtliche Kandidaturen) ""A - Z""
 - 
 - 
 - Direktion für  und Zusammenarbeit: Zentrale Ablage (1996-2000)"	<n>Abolugut Otäco Yautï</n>, <d>15.07.1991</d>
ID-2516	" des Beschwerdedienstes im  1993
 -  des Beschwerdedienstes 1990 - 1999
 -  des Beschwerdedienstes
 - Beschwerdedienst des eidgenössischen  und Polizeidepartements: Beschwerdefälle (1959-2007)"	<n>Utumägotu Döbif Yula</n>
ID-2707	"an  - Azz
 -  und Verlust des Schweizerbürgerrechts
 - Polizeiabteilung: Personenregistratur (1901-1979)"	<n>EC, Ceada</n>, <d>29.05.1960</d>
ID-2163	"Dienst für Beschwerden an den Bundesrat
 - Bundesamt für  Zentrale Ablage (1984-)"	<n>NE, Uuhudi</n> contre centrale de compensation betr. Nichtwahl in eine höhere Funktion / BRB Gegenstandslos <wd>07.04.2004</wd>
ID-1050	"Rekurse (nach Laufnummern)
 -  Rekurskommission für Infrastruktur und Umwelt: Zentrale Ablage (2004-2006)"	Gemeinderat Gemeinde Bellikon/<j>Botepoh und Vefig</j>
ID-2741	"Versichertendossiers Familienname G
 - Versichertendossiers A-Z
 - Bundesamt für Militärversicherung:  Militärversicherung und Renten (1979-2005)"	<n>ROGEF, Awuwav</n>, <a>390-73.119</a>.
ID-2433	"Personendossiers Flüchtlinge
 - Ungarn - Hongrie
 - Operationelle Tätigkeiten im Inland
 - Hilfswerk der evangelischen Kirchen der Schweiz: Zentrale Ablage (1946-)"	<n>Op Ivatu Ebih</n>, <d>20.05.1963</d>
ID-1502	"Dienst für Beschwerden an den Bundesrat
 - Bundesamt für  Zentrale Ablage (1984-)"	BESCHWERDE VOLKSWIRTSCHAFTSDIR.AR GEGEN EVED/UVEK BETR. RTEILUNG VON VERKEHRSRECHTEN AN PTT FUER DIE LINIE HERISAU-TEUFEN-TROGEN//B B 15.5.96 ABWEISUNG
ID-1562	"   |   Cas particuliers
 - Verhaftung, Strafverfolgung   |   Arrestation, poursuites pénales
 - Schutz von Leib und Leben   |   Protection de la personne et de la vie
 - Wahrung schweizerischer Interessen   |   Protection des intérêts suisses
 - Schweizerische Vertretung, Athen: Zentrale Ablage (1966- )"	<j>Emuc Deyeyen, Sàrl</j> :<n>Boyofu Voyowib, E.</n>
ID-1569	"Revisionsberichte
 - Ablage der Banken und Sparkassen
 -  Bankenkommission: Banken und Sparkassen (1979-1996)"	<j>Lemu, Sàrl</j>
ID-1056	"Heimschaffungen
 - Heimschaffungen
 - Unterstützung und Heimschaffungen
 - Hilfe an Schweizer im Ausland
 - Schweizer und schweizerische Interessen im Ausland
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>Dehamet, Ivatu</n>, <d>28.08.2005</d>, Birwil/AG
ID-517	"Dienst- A-Z: Familienname mit N
 - Dienst- A-Z
 - Mutationen / Dienst-
 - Beförderungen und Mutationen
 - Bewirtschaftung der Truppe
 - Untergruppe Personelles der Armee: Dienst- von Armeeangehörigen (1996-2003)"	<n>Loyura-Iimebu, Sehev</n>, Leutnant, <d>18.07.1970</d>
ID-977	" 25001-30000 - Rekursnummer 25001-30000
 - Beschwerdeakten,  - Dossiers de recours, cas particuliers
 -  Rekurskommission der Alters-, Hinterlassenen- und Invalidenversicherung für die im Ausland wohnenden Personen: Zentrale Ablage (1971-2006)"	<n>Wofel Hiyano, Ehewul</n>
ID-851	"Men - Mol
 -  und Verlust des Schweizerbürgerrechts
 - Polizeiabteilung: Personenregistratur (1901-1979)"	<n>URUMÈH, Sosiv</n>, <d>07.03.1996</d>
ID-2350	"  K 316000 - 316999
 -   nach Laufnummer
 - Bundesamt für Ausländerfragen: Personenregistratur (1979-2003)"	<n>SIFOH, Yoru</n> . <d>15.03.1994</d>
ID-2533	" des Beschwerdedienstes im  2000
 -  des Beschwerdedienstes ab 2000
 -  des Beschwerdedienstes
 - Beschwerdedienst des eidgenössischen  und Polizeidepartements: Beschwerdefälle (1959-2007)"	<n>Oto, B.</n> <d>04.05.2005</d>
ID-721	"  K 087000 - 087999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>MEMEG, Bawuc</n>, <d>20.03.1997</d>
ID-220	"Rechtshilfegesuche Laufnummern 70000 - 74999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<j>Uvuyo&Ihowi</j> Firma, weitere
ID-2265	"Vorabklärungen und Untersuchungen (Nach Laufnummern)
 - Marktbeherrschende Unternehmen
 - Wettbewerbskommission: Zentrale Ablage (1997- )"	Unique Valet Parking (<j>Ofena GmbH</j>), Teil 3
ID-1622	"Beschwerden an den Bundesrat
 - Strafrecht
 - Rechtsanwendung
 - Bundesamt für  Zentrale Ablage (1999 - )"	<j>Foetal GmbH</j> contre VD fixant le tarif cantonal pour les prestations ambulatoires et semihospitalières effectuées par les cliniques - Retrait du recours <wd>03.12.2004</wd>
ID-2597	"Versichertendossiers Familienname D
 - Versichertendossiers A-Z
 - Bundesamt für Militärversicherung:  Militärversicherung und Renten (1979-2005)"	<n>Enice, Enoni</n>, <a>40.59.716</a>.
ID-2592	"Rechtshilfe in Strafsachen
 - Strafrecht, Strafprozess
 - Oeffentliches Recht des 
 - Recht
 - Schweizerische Vertretung, Tiflis (2001-): zentrale Ablage"	<n>Gow, Wiwuh</n>, <d>18.05.2018</d>, von Niederbipp BE
ID-162	"Rekurse, Beschwerden
 - Höhere Fachprüfungen (Meisterprüfungen), Berufsprüfungen
 - Beruflicher Unterricht / Turn- und Sportunterricht
 - Berufliche Ausbildung
 - Bundesamt für Industrie, Gewerbe und Arbeit: Zentrale Ablage (1949-1997)"	<n>LIRISACIV, Ucoda</n> , 4107 Ettingen (BP Betriebsfachmann der Maschinen- und Metallindustrie <wd>1985</wd>)
ID-1165	"Allgemeines   |   Généralités
 - Vermittlung schweizerischer Produkte im    |   Promotion de la vente de produits suisses dans l' de résidence
 - Handelsförderung der Schweiz   |    commerciale de la Suisse
 - Handelsförderung   |    commerciale
 - Wirtschaft (einschliesslich Finanzen, Verkehr und Tourismus)   |    (y compris Finance, Communications et Tourisme)
 - Schweizerische Vertretung, Canberra: Zentrale Ablage (1966- )"	<j>Emuc Deyeyen, Sàrl</j>
ID-2020	"
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>IVAH, Tampa</n>; Violence ou menace contre les fonctionnaires de la Confédération
ID-2607	"Revisionsberichte
 - Ablage der Banken und Sparkassen
 -  Bankenkommission: Banken und Sparkassen (1979-1996)"	<j>Ewive and Hayin GmbH</j>
ID-1049	"Ordipro Nr. 230'000 - 239'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>Ogoidenob, Pewur</n>, <d>02.01.1964</d>, (Ordipro Nr. <a>336.30.481</a>)
ID-1208	"Das Washingtoner Abkommen und seine Durchführung
 - Das Washingtoner Abkommen und seine Durchführung
 - Stucki Walter (1888-1963)"	Angelegenheit "<j>Ewive and Hayin GmbH</j>) in Basel
ID-1560	"   |   Cas particuliers
 - Fürsorgerische Unterstützungen   |   Assistance et secours à des particuliers
 - Fürsorge und Unterstützung   |   Assistance et Prévoyance
 - Sozialversicherung, Fürsorge und Stipendien   |   Sécurité sociale, Assistance et Prévoyance, Bourses d'études et d'apprentissage
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, San Francisco: Zentrale Ablage (1966-)"	<n>Ugomida Hona Hilus</n> geb. am <d>11 juillet 2000</d> von La Sagne NE und Les Ponts-de-Martel NE
ID-2348	"Rekurse (nach Laufnummern)
 -  Rekurskommission für Infrastruktur und Umwelt: Zentrale Ablage (2004-2006)"	<j>Uyb, AG</j>/Bundesamt für Kommunikation (BAKOM)
ID-1906	" Benutzer 
 -  Benützer (LfNr) / Standort der Akten: B 51
 - Benutzung 
 - Vermittlung, Benutzung, Auswertung
 - Schweizerisches Bundesarchiv: Zentrale Ablage (1996-2007)"	Eidgenössische Militärbibliothek, Bern
ID-2064	"Gegen Bundesamt für Zivilluftfahrt
 - Beschwerden, Aufsichtsbeschwerden
 - Recht (Geschäfte der Rechtsabteilung GS)
 - Generalsekretariat des eidgenössischen Departements für Umwelt, Verkehr,  und Kommunikation: Zentrale Ablage (1998-)"	<j>Uefa Assurances</j> entre 2201 et 2300 heures locales pour l'année <wd>1996</wd>
ID-1871	"Vertragsstreitigkeiten, Rekurse
 - Verträge
 -  Verwaltung / Rechtsdienst
 - Generaldirektion (GD)
 - Verein schweizerische Landesausstellung
 - Verein schweizerische Landesausstellung, Neuenburg: Zentrale Ablage (1995-2003)"	Contrats, litiges, D - MO : <j>Owun und Geda</j>: Correspondance, courriers internes, projets de contrat, contrat définitif; Dossier de <n>Véweluh Velel Uhono</n>
ID-1397	"Rechtshilfegesuche Laufnummern 70000 - 74999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<n>LIRISACIV, Ucoda</n> Melchsee-Frutt
ID-486	"Ordipro Nr. 370'000 - 379'999
 - Ständige Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>HENIAGUFI, Ihapa</n>, <d>30.06.1971</d>, (Ordipro Nr. <a>829.81.245</a>)
ID-1209	" (nach Laufnummer)
 - Hilfe an kriegsgeschädigte AuslandschweizerInnen
 - Bundesamt für  Hilfe an Kriegsgeschädigte Auslandschweizer (1957-2006)"	<n>Apeta, Fatof</n>, <d>29.06.1984</d> von Gaiserwald SG (A 7994)
ID-141	"Rechtshilfegesuche Laufnummern 60000 - 64999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<n>Epumen, Cago</n>
ID-450	"Verschiedenes
 - Risiken des Bundes; Abwehr/Durchsetzung vermögensrechtlicher Ansprüche
 - Recht
 -  Finanzverwaltung: Zentrale Ablage (2004-2011)"	<n>Mipufe, Vitua</n>, Uster: Klage c/<j>Pivu, Sàrl</j> betr. Festellung von Leistungen der Pensionskasse.
ID-2291	"Beschwerden 
 -  Datenschutzkommission: Zentrale Ablage (1993-2006)"	<j>Vuwego GmbH</j>, Departement für Inndere Medizin, Pharmakologie/Toxikologie/Expertenkommission für das Berufsgeheimnis in der medizinischen Forschung, Bundesamt für Gesundheit
ID-1337	"
 - Beschwerden 
 -  Datenschutzkommission: Zentrale Ablage (1993-2006)"	Eidgenössischer Datenschutzbeauftragter, 3003 Bern
ID-161	"Piloten
 - Organisation und Personelles der Truppe
 - Fliegerbrigade 31: Büro (1995-2003)"	<n>Gemuy Owucecüd, Egod</n>, <d>13.02.1990</d>. Dossier très complet.
ID-2011	"Städtische Liegenschaften und kleine landwirtschaftliche Güter
 - Kommission für Nationalisierungsentschädigungen:  Tschechoslowakei (1951-1980)"	<n>Ulivohe, Laliv</n>
ID-1509	"Nachrichtenlose Vermögen / Vermögen und Holocaust-Opfern, rassisch, religiös oder politisch Verfolgter
 - Verschiedenes
 - Banken- & Banken- (inkl. Pfandbrief-Aufsicht)
 -  Bankenkommission: Zentrale Ablage (2002-2004)"	Jüdische Vermögenswerte, BB <wd>1962</wd> und dessen Folge Band VIIa <j>Assurances Tugane, Sàrl</j>
ID-2733	"Botschaftspersonal
 - Personal der ausländischen Vertretungen
 - Protokoll
 - Allgemeine aussenpolitische Fragen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>Agodob Ovomew Ifuw</n>, <d>22.07.1967</d> ; Attaché Militaire
ID-1583	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Le Havre: Zentrale Ablage (1966- )"	<n>Ivage, Awola</n>, <d>10.08.1990</d> biens séquestrés en Egypte, personnalités havraises
ID-2258	"Groupes de travail, Droits de l'homme
 - Commission des Droits de l'homme
 - Droits de l'homme
 - Généralités, 
 -  Conseil économique et social
 - Organisation des Nations Unies ONU
 - Ständige Mission der Schweiz bei den internationalen Organisationen, Genf: Zentrale Ablage (1977-1992)"	Convention contre la torture, vol. II,  Sd. Comité contre la torture, communications à la Suisse : <n>Alutipi, Perel</n>
ID-2773	" 40001-45000 - Rekursnummer 40001-45000
 - Beschwerdeakten,  - Dossiers de recours, cas particuliers
 -  Rekurskommission der Alters-, Hinterlassenen- und Invalidenversicherung für die im Ausland wohnenden Personen: Zentrale Ablage (1971-2006)"	<n>Donuyo Pegig Vucinu</n>
ID-2113	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Paris: Zentrale Ablage (1966-)"	<n>Ifebahup Asiñumufotu, Y.</n>
ID-571	"Allgemeine Personalfragen; Personaldossiers
 - Organisation
 - Allgemeine Verwaltung
 - Direktion
 -  Steuerverwaltung: Direktion (1918-)"	<n>UHAR, Nopemu</n>, (<d>14.08.2018</d>)
ID-1671	"Dossiers d'immatriculation
 - Immatriculation
 - Immatriculation, Passeport, Affaires militaires
 - Affaires consulaires
 - Schweizerische Vertretung, Annecy: Zentrale Ablage (1966-)"	<n>Uripuw Foo, Tuwufo</n> (<d>02.05.1997</d>): Victime de la guerre
ID-2126	"Droit de parents
 - Droit de la famille
 - Affaires d'état civil
 - Schweizerische Vertretung, Besançon: Zentrale Ablage (1944- 1965)"	Adoption (<n>Upecelulih, Pupu</n>)
ID-467	"Beschwerden, Aufsichtseingaben
 - Bundesversammlung: Geschäftsprüfungskommissionen (1969-1994)"	Dr. <n>Ebutaey, Oomo</n> betr. wirtsch. Nachrichtendienst
ID-296	"Kategorie 1
 - Claims Resolution Tribunal: Bankunterlagen und Vermögensaufstellungen diverser Schweizer Banken"	<n>None, Ahocu</n>, s.d. | <j>Voyages Lödac, AG</j>)
